lakeid,year4,sampledate,sta,depth_range,division,taxa_name,gald,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,relative_total_biovolume,genus
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Chrysophyta","Chromulina ",3.0,1.0,218.1,218.1,3083,0.003,0.96,"Chromulina"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon ",6.0,1.0,54.5,54.5,4282,0.004,1.33,"Dinobryon"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon bavaricum",80.0,2.0,18.2,36.4,6852,0.007,2.13,"Dinobryon"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon bavaricum",50.0,1.0,18.2,18.2,2741,0.003,0.85,"Dinobryon"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon dialatatum",36.0,1.0,36.4,36.4,2855,0.003,0.89,"Dinobryon"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,1308.6,1308.6,39577,0.040,12.31,"Erkenia"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Chrysophyta","Mallomonas akrokomas",24.0,1.0,18.2,18.2,4111,0.004,1.28,"Mallomonas"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Chrysophyta","Stichogloea olivacea",16.0,4.0,18.2,72.7,7683,0.008,2.39,"Stichogloea"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas erosa",24.0,1.0,109.1,109.1,125391,0.125,39.00,"Cryptomonas"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas lucens",8.0,1.0,18.2,18.2,1370,0.001,0.43,"Cryptomonas"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",8.0,1.0,145.4,145.4,4873,0.005,1.52,"Rhodomonas"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanizomenon flos-aquae",150.0,25.0,18.2,454.4,34260,0.034,10.66,"Aphanizomenon"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechocystis ",1.0,1.0,2181.0,2181.0,1142,0.001,0.36,"Synechocystis"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Miscellaneous",,5.0,1.0,18.2,18.2,761,0.001,0.24,
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Gymnodinium sp 3",8.0,1.0,36.4,36.4,2741,0.003,0.85,"Gymnodinium"
"CR",2005,2005-08-10 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Peridinium umbonatum",12.0,1.0,18.2,18.2,5710,0.006,1.78,"Peridinium"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Bacillariophyta","Asterionella formosa",60.0,1.0,9.1,9.1,8724,0.009,1.80,"Asterionella"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Bacillariophyta","Tabellaria fenestrata",60.0,1.0,9.1,9.1,34897,0.035,7.21,"Tabellaria"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlorococcaceae",4.0,1.0,9.1,9.1,305,0.000,0.06,
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlorophyta",12.0,1.0,9.1,9.1,3654,0.004,0.75,
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Ankistrodesmus falcatus",24.0,1.0,9.1,9.1,206,0.000,0.04,"Ankistrodesmus"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlamydomonas ",6.0,1.0,18.2,18.2,1645,0.002,0.34,"Chlamydomonas"
